name,award,year,region,dl_profile,double_underscore_content
"Oshiyama, Atsushi",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81490690898,
"Suenaga, Atsushi",ACM Gordon Bell Prize,2006,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100242583,
"Uno, Atsuya",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100419320,
"Clyde, Austin",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Swartz, Avi",ACM/CSTA Cutler-Bell Prize in High School Computing,2016,North America,https://dl.acm.orgN/A,
"Wigderson, Avi",ACM A. M. Turing Award,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100459522,
"Rubinstein, Aviad",ACM Doctoral Dissertation Award,2017,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332524972,
"Tevanian, Avie",ACM Software System Award,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100646362,
"Blum, Avrim",ACM Paris Kanellakis Theory and Practice Award,2021,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100160291,
"Huebl, Axel",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Toro-Vega, Axel S.",ACM/CSTA Cutler-Bell Prize in High School Computing,2019,North America,https://dl.acm.orgN/A,
"Howard, Ayanna",ACM Athena Lecturer Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100328868,
"Hejazialhosseini, Babak",ACM Gordon Bell Prize,2013,Middle East,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81442616806,
"Rau, Bantwal R",ACM-IEEE CS Eckert-Mauchly Award,2002,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81451599881,
"Grosz, Barbara J",ACM AAAI Allen Newell Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100521266,
"Liskov, Barbara",ACM A. M. Turing Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100323833,
"Smith, Barry",SIAM/ACM Prize in Computational Science and Engineering,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332528299,
"Liblit, Ben",ACM Doctoral Dissertation Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100555854,
"Wegbreit, Ben",ACM Programming Systems and Languages Paper Award,1974,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100646452,
"Chor, Ben-Zion",ACM Doctoral Dissertation Award,1985,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81409591838,
"Spector, Benjamin F",ACM/CSTA Cutler-Bell Prize in High School Computing,2017,North America,https://dl.acm.orgN/A,
"Hillman, Benjamin",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Mildenhall, Benjamin",ACM Doctoral Dissertation Award,2021,North America,https://dl.acm.orgN/A,
"Ragan-Kelley, Benjamin",ACM Software System Award,2017,North America,https://dl.acm.orgN/A,
"Snyder, Benjamin",ACM Doctoral Dissertation Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81442593990,
"Vitale, Benjamin",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Applebaum, Benny",ACM Doctoral Dissertation Award,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100093204,
"Galler, Bernard",ACM Distinguished Service Award,1980,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100134799,
"Rous, Bernard",Outstanding Contribution to ACM Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100365202,
"Scholkopf, Bernhard",ACM AAAI Allen Newell Award,2022,Europe,https://dl.acm.orgN/A,
"Schommer, Bernhard",ACM Software System Award,2021,Europe,https://dl.acm.orgN/A,
"Meyer, Bertrand",ACM Software System Award,2006,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100570511,
"Kale, Bharat",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Kanungo, Bikash",ACM Gordon Bell Prize,2023,North America,https://dl.acm.orgN/A,
"Zhang, Bin",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Chen, Bingwei",ACM Gordon Bell Prize,2017,Asia,https://dl.acm.orgN/A,
"Stroustrup, Bjarne",ACM Grace Murray Hopper Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100106139,
"Barak, Boaz",ACM Doctoral Dissertation Award,2004,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100628299,
"Batson, Brannon",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100207325,
"Batson, Brannon",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100207325,
"Behlendorf, Brian",ACM Software System Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100066873,
"Granger, Brian",ACM Software System Award,2017,North America,https://dl.acm.orgN/A,
"Greskamp, Brian",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81331493524,
"Reid, Brian K.",ACM Grace Murray Hopper Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100284251,
"Minnick, Brian",ACM/CSTA Cutler-Bell Prize in High School Computing,2020,North America,https://dl.acm.orgN/A,
"Towles, Brian",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100272233,
"Towles, Brian",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100272233,
"de Supinski, Bronis R.",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100334532,
"Lindsay, Bruce",ACM Programming Systems and Languages Paper Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100191891,
"Nelson, Bruce",ACM Software System Award,1994,North America,https://dl.acm.orgN/A,
"Van Atta, Bruce W.",Outstanding Contribution to ACM Award,1976,North America,https://dl.acm.orgN/A,
"Barras, Bruno",ACM Software System Award,2013,Europe,https://dl.acm.orgN/A,
"Buchberger, Bruno",ACM Paris Kanellakis Theory and Practice Award,2007,Pacific Rim,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100420061,
"Parno, Bryan",ACM Doctoral Dissertation Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100417625,
"Smith, Burton",ACM-IEEE CS Eckert-Mauchly Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100079610,
"Lampson, Butler W",ACM Software System Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100081662,
"Lampson, Butler W",ACM A. M. Turing Award,1992,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100081662,
"Lee, Byounghak",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81372591954,
"Bell, C Gordon",ACM-IEEE CS Eckert-Mauchly Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406600936,
"Hoare, C. Antony R.",ACM Programming Systems and Languages Paper Award,1973,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81385591905,
"Hoare, C. Antony R.",ACM A. M. Turing Award,1980,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81385591905,
"Ho, C. Richard",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Liu, C.L.",ACM Karl V. Karlstrom Outstanding Educator Award,1989,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81410593256,
"Watt, Conrad",ACM Doctoral Dissertation Award,2022,Europe,https://dl.acm.orgN/A,
"Gotlieb, Calvin C.",ACM Presidential Award,2002,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452617735,
"Gotlieb, Calvin C.",Outstanding Contribution to ACM Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452617735,
"Bach, Carl E.",ACM Doctoral Dissertation Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100328364,
"Ebeling, Carl",ACM Doctoral Dissertation Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100316271,
"Hammer, Carl",ACM Distinguished Service Award,1979,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100427857,
"Waldspurger, Carl",ACM Doctoral Dissertation Award,1996,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81490684432,
"Gomes, Carla",ACM AAAI Allen Newell Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100102648,
"Mann, Carla",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Willing, Carol",ACM Software System Award,2017,North America,https://dl.acm.orgN/A,
"Lund, Carsten",ACM Doctoral Dissertation Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100223325,
"Mead, Carver",ACM AAAI Allen Newell Award,1997,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100183799,
"Wang, Chao",ACM-IEEE CS George Michael Memorial HPC Fellowships,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81384599354,
"Yang, Chao",ACM Gordon Bell Prize,2016,Asia,https://dl.acm.orgN/A,
"Xiao, Chaowei",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Bradshaw, Charles L",ACM Distinguished Service Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81321489446,
"Thacker, Charles P",ACM Software System Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332531482,
"Thacker, Charles P",ACM A. M. Turing Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332531482,
"Thacker, Charles P",ACM-IEEE CS Eckert-Mauchly Award,2017,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332531482,
"Bachman, Charles W",ACM A. M. Turing Award,1973,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100243333,
"Finn, Chelsea",ACM Doctoral Dissertation Award,2018,North America,https://dl.acm.orgN/A,
"Dexun, Chen",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Zhou, Chenggang",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orgN/A,
"Zou, Cherry",ACM/CSTA Cutler-Bell Prize in High School Computing,2015,North America,https://dl.acm.orgN/A,
"Li, Chester",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Murthy, Chetan",ACM Software System Award,2013,Europe,https://dl.acm.orgN/A,
"Shu, Chi-Wang",SIAM/ACM Prize in Computational Science and Engineering,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100207139,
"Hankin, Chris L.",Outstanding Contribution to ACM Award,2020,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100305946,
"Lattner, Chris",ACM Software System Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100275287,
"Snyder, Chris",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
